event_time,read_time,diff
1723174527691409,1723174527691432,23
1723174527691409,1723174527691433,24
1723174527691409,1723174527691433,24
1723174527692411,1723174527692434,23
1723174527692411,1723174527692434,23
1723174527692411,1723174527692435,24
1723174527693411,1723174527693434,23
1723174527693411,1723174527693434,23
1723174527693411,1723174527693435,24
1723174527694412,1723174527694434,22
1723174527694412,1723174527694435,23
1723174527694412,1723174527694435,23
1723174527695416,1723174527695440,24
1723174527695416,1723174527695440,24
1723174527695416,1723174527695440,24
1723174527696409,1723174527696428,19
1723174527696409,1723174527696428,19
1723174527696409,1723174527696428,19
1723174527697413,1723174527697435,22
1723174527697413,1723174527697435,22
1723174527697413,1723174527697435,22
1723174527698411,1723174527698432,21
1723174527698411,1723174527698432,21
1723174527698411,1723174527698433,22
1723174527699419,1723174527699443,24
1723174527699419,1723174527699444,25
1723174527699419,1723174527699444,25
1723174527700461,1723174527700486,25
1723174527700461,1723174527700487,26
1723174527700461,1723174527700487,26
1723174527701414,1723174527701435,21
1723174527701414,1723174527701435,21
1723174527702413,1723174527702436,23
1723174527702413,1723174527702436,23
1723174527702413,1723174527702436,23
1723174527703412,1723174527703434,22
1723174527703412,1723174527703435,23
1723174527703412,1723174527703435,23
1723174527704411,1723174527704434,23
1723174527704411,1723174527704434,23
1723174527704411,1723174527704434,23
1723174527705414,1723174527705436,22
1723174527705414,1723174527705436,22
1723174527706408,1723174527706428,20
1723174527706408,1723174527706429,21
1723174527707407,1723174527707426,19
1723174527707407,1723174527707427,20
1723174527707407,1723174527707427,20
1723174527708410,1723174527708433,23
1723174527708410,1723174527708433,23
1723174527709419,1723174527709442,23
1723174527709419,1723174527709443,24
1723174527710418,1723174527710440,22
1723174527710418,1723174527710441,23
1723174527711419,1723174527711443,24
1723174527711419,1723174527711444,25
1723174527712412,1723174527712430,18
1723174527712412,1723174527712431,19
1723174527712412,1723174527712431,19
1723174527713418,1723174527713441,23
1723174527713418,1723174527713441,23
1723174527714443,1723174527714471,28
1723174527714443,1723174527714472,29
1723174527715435,1723174527715462,27
1723174527715435,1723174527715463,28
1723174527715435,1723174527715463,28
1723174527716465,1723174527716494,29
