event_time,read_time,diff
1723174595441417,1723174595441465,48
1723174595441417,1723174595441466,49
1723174595442418,1723174595442464,46
1723174595442418,1723174595442464,46
1723174595443417,1723174595443487,70
1723174595443417,1723174595443487,70
1723174595444417,1723174595444470,53
1723174595444417,1723174595444470,53
1723174595444417,1723174595444471,54
1723174595445418,1723174595445469,51
1723174595445418,1723174595445470,52
1723174595445418,1723174595445470,52
1723174595446419,1723174595446467,48
1723174595446419,1723174595446467,48
1723174595446419,1723174595446468,49
1723174595447422,1723174595447473,51
1723174595447422,1723174595447474,52
1723174595447422,1723174595447474,52
1723174595448421,1723174595448470,49
1723174595448421,1723174595448470,49
1723174595448421,1723174595448471,50
1723174595449421,1723174595449472,51
1723174595449421,1723174595449472,51
1723174595449421,1723174595449473,52
1723174595450420,1723174595450470,50
1723174595450420,1723174595450470,50
1723174595450420,1723174595450471,51
1723174595451418,1723174595451468,50
1723174595451418,1723174595451469,51
1723174595451418,1723174595451469,51
1723174595452411,1723174595452494,83
1723174595452411,1723174595452495,84
1723174595452411,1723174595452495,84
1723174595453423,1723174595453500,77
1723174595453423,1723174595453501,78
1723174595453423,1723174595453501,78
1723174595454420,1723174595454495,75
1723174595454420,1723174595454496,76
1723174595454420,1723174595454497,77
1723174595455452,1723174595455545,93
1723174595455452,1723174595455546,94
1723174595455452,1723174595455547,95
1723174595456424,1723174595456487,63
1723174595456424,1723174595456488,64
1723174595456424,1723174595456488,64
1723174595457420,1723174595457484,64
1723174595457420,1723174595457484,64
1723174595457420,1723174595457485,65
1723174595458418,1723174595458480,62
1723174595458418,1723174595458481,63
1723174595458418,1723174595458481,63
1723174595459418,1723174595459480,62
1723174595459418,1723174595459481,63
1723174595459418,1723174595459481,63
1723174595460422,1723174595460487,65
1723174595460422,1723174595460487,65
1723174595460422,1723174595460488,66
1723174595461419,1723174595461485,66
1723174595461419,1723174595461486,67
1723174595461419,1723174595461486,67
1723174595462418,1723174595462482,64
1723174595462418,1723174595462482,64
1723174595462418,1723174595462483,65
1723174595463420,1723174595463484,64
1723174595463420,1723174595463485,65
1723174595463420,1723174595463486,66
1723174595464420,1723174595464485,65
1723174595464420,1723174595464486,66
1723174595464420,1723174595464486,66
1723174595465422,1723174595465483,61
1723174595465422,1723174595465484,62
1723174595465422,1723174595465484,62
1723174595466425,1723174595466491,66
1723174595466425,1723174595466491,66
1723174595466425,1723174595466492,67
1723174595467422,1723174595467486,64
1723174595467422,1723174595467486,64
1723174595467422,1723174595467487,65
1723174595468425,1723174595468494,69
1723174595468425,1723174595468495,70
1723174595468425,1723174595468495,70
1723174595469421,1723174595469485,64
1723174595469421,1723174595469485,64
1723174595469421,1723174595469486,65
1723174595470410,1723174595470472,62
1723174595470410,1723174595470472,62
1723174595470410,1723174595470473,63
1723174595471435,1723174595471505,70
1723174595471435,1723174595471506,71
1723174595471435,1723174595471506,71
1723174595472417,1723174595472479,62
1723174595472417,1723174595472479,62
1723174595472417,1723174595472480,63
1723174595473413,1723174595473476,63
1723174595473413,1723174595473477,64
1723174595473413,1723174595473477,64
1723174595474412,1723174595474475,63
1723174595474412,1723174595474476,64
1723174595474412,1723174595474476,64
1723174595475412,1723174595475474,62
1723174595475412,1723174595475474,62
1723174595475412,1723174595475475,63
1723174595476416,1723174595476485,69
1723174595476416,1723174595476486,70
1723174595476416,1723174595476486,70
1723174595477413,1723174595477478,65
1723174595477413,1723174595477479,66
1723174595477413,1723174595477480,67
1723174595478418,1723174595478481,63
1723174595478418,1723174595478482,64
1723174595478418,1723174595478483,65
1723174595479421,1723174595479486,65
1723174595479421,1723174595479487,66
1723174595479421,1723174595479487,66
1723174595480418,1723174595480480,62
1723174595480418,1723174595480481,63
1723174595480418,1723174595480481,63
